,adview
0,2.6552141245965526
1,2.4021581913972114
2,2.05946970634807
3,2.284217335596152
4,2.284819991483463
5,2.1955550600989486
6,1.874249087162771
7,1.6135797307127766
8,2.5155230843092258
9,2.277356351143517
10,1.9643727593877482
11,1.9986434475270063
12,1.5565648556440843
13,2.2402189695772963
14,2.1135742649352562
15,2.2174184522018057
16,1.7233691656656491
17,2.522767395285814
18,1.3714163055000066
19,1.9336318509207988
20,1.540993225103516
21,1.612545735345686
22,2.457539750677305
23,1.8405611493779008
24,2.283935942769658
25,1.3563357239744618
26,2.1912707526902286
27,4.401762308141355
28,1.8358227305986836
29,1.6623069632120495
30,1.4700220865490259
31,1.4068786279073886
32,2.6280236836689146
33,2.4028698913213002
34,2.0615988262099396
35,3.3490183196676195
36,2.005726235870238
37,1.6406141600960953
38,3.3148082648295194
39,1.9130254169606449
40,4.0779892308497265
41,5.183581393424344
42,2.2168950967120935
43,2.6594624657696615
44,1.4287562433810184
45,1.6844233792221237
46,1.8906968138479017
47,2.6499626779614447
48,3.8348072948253873
49,2.4956498897581962
50,1.3948010796682508
51,1.924066857257778
52,1.7691883040641299
53,1.929936477984411
54,1.389624573480528
55,2.1488233794903846
56,2.7358725184920045
57,2.2346950527598923
58,1.9783444329866915
59,2.3825730166943475
60,1.631429689260754
61,2.3114393445480004
62,1.373186235763432
63,1.4047742627200561
64,1.4082493578469655
65,1.7165773608975132
66,1.8413976581846758
67,1.4709759354720204
68,1.4703699880814494
69,1.9182951805363637
70,1.5478250135503098
71,1.3215778676059764
72,2.6046264830549215
73,2.5814795285237917
74,2.2745474622775337
75,2.7956407891449815
76,1.3152883458142286
77,2.420320401029105
78,2.1322519111166374
79,3.259647906141381
80,1.8366913184237512
81,1.370766884912224
82,2.0994627960036265
83,2.825283012300564
84,1.3010806619295976
85,1.6533000799965882
86,1.5881309207076577
87,2.7942749026322975
88,2.1456523863574635
89,1.8537174648942183
90,2.0891710406438384
91,1.2667430948389997
92,1.9621084933605268
93,1.961627040101565
94,2.4187489283553143
95,1.5464577030694238
96,2.4148275130878245
97,1.8756171568328146
98,2.9760021580110654
99,2.4453177282641807
100,3.6812640343474095
101,1.2759109979145813
102,2.175320224889522
103,2.0430146039318746
104,3.3406576941367905
105,1.4138514541869722
106,2.9258982464996146
107,1.8369975537594203
108,2.069837681986296
109,2.3601869959777857
110,3.0618817751809435
111,1.2730418689310157
112,1.7518729398718675
113,3.0768934057634967
114,1.4945798797539624
115,2.0908352884576207
116,2.3753219102886427
117,1.5134671754208928
118,1.6938677809920706
119,1.794074595653016
120,3.017347283683132
121,3.837203570467178
122,1.6604968743575719
123,2.185932289762558
124,1.8933305036631087
125,2.7875830920063285
126,2.0995300691415006
127,1.7233629861629143
128,2.69054813270764
129,1.6625071409425778
130,2.301932553034688
131,2.1004516569262552
132,1.7280161356760495
133,1.829098059346833
134,1.5669871838903215
135,2.5957491482245385
136,1.8184541789035575
137,1.8959738103228976
138,2.1169055708497626
139,2.1651114381088847
140,2.0137102007414494
141,1.5266944811978789
142,2.116356033808068
143,1.8419300192780632
144,2.5079741501998636
145,2.238615882218265
146,1.8243486720681616
147,2.0625096756949146
148,2.323403651859013
149,0.9961628561946059
150,3.4717628480591944
151,2.354426563876268
152,2.0982999294674185
153,1.2923097207489809
154,1.5998209829981753
155,2.2236581942110036
156,1.4223765379593503
157,2.4970400664744794
158,1.8885930807540512
159,2.79945435375183
160,3.2862117587986948
161,1.4994632184935721
162,2.1452778076524104
163,2.481349668718752
164,1.93388426014939
165,1.4655402946790654
166,1.370512619961549
167,1.5675156377532042
168,3.5136284280793233
169,1.7317694516510462
170,1.4905304153251833
171,1.6942507518066907
172,2.109371549996395
173,2.572462757164833
174,2.2219521445132004
175,3.1960357144645704
176,1.8929815086308197
177,2.553767085610557
178,3.3394092497794117
179,1.4489037309108368
180,1.2748471033313864
181,1.5980102710863089
182,1.3774611423142598
183,1.6831154960200998
184,1.9649662650040496
185,2.0943358430952843
186,1.6862312347315078
187,3.6461865348659135
188,2.046716816476487
189,1.4799157060555896
190,3.354609534467967
191,1.5817992758006856
192,1.3064559373182973
193,2.3824198013786946
